iso639-1,iso639-2b,iso639-2t,iso639-3,scope,language_type,name
,,,aaa,individual,living,Ghotuo
,,,aab,individual,living,Alumu-Tesu
,,,aac,individual,living,Ari
,,,aad,individual,living,Amal
,,,aae,individual,living,Arbëreshë Albanian
,,,aaf,individual,living,Aranadan
,,,aag,individual,living,Ambrak
,,,aah,individual,living,Abu' Arapesh
,,,aai,individual,living,Arifama-Miniafia
,,,aak,individual,living,Ankave
,,,aal,individual,living,Afade
,,,aan,individual,living,Anambé
,,,aao,individual,living,Algerian Saharan Arabic
,,,aap,individual,living,Pará Arára
,,,aaq,individual,extinct,Eastern Abnaki
aa,aar,aar,aar,individual,living,Afar
,,,aas,individual,living,Aasáx
,,,aat,individual,living,Arvanitika Albanian
,,,aau,individual,living,Abau
,,,aaw,individual,living,Solong
,,,aax,individual,living,Mandobo Atas
,,,aaz,individual,living,Amarasi
,,,aba,individual,living,Abé
,,,abb,individual,living,Bankon
,,,abc,individual,living,Ambala Ayta
,,,abd,individual,living,Manide
,,,abe,individual,living,Western Abnaki
,,,abf,individual,living,Abai Sungai
,,,abg,individual,living,Abaga
,,,abh,individual,living,Tajiki Arabic
,,,abi,individual,living,Abidji
,,,abj,individual,extinct,Aka-Bea
ab,abk,abk,abk,individual,living,Abkhazian
,,,abl,individual,living,Lampung Nyo
,,,abm,individual,living,Abanyom
,,,abn,individual,living,Abua
,,,abo,individual,living,Abon
,,,abp,individual,living,Abellen Ayta
,,,abq,individual,living,Abaza
,,,abr,individual,living,Abron
,,,abs,individual,living,Ambonese Malay
,,,abt,individual,living,Ambulas
,,,abu,individual,living,Abure
,,,abv,individual,living,Baharna Arabic
,,,abw,individual,living,Pal
,,,abx,individual,living,Inabaknon
,,,aby,individual,living,Aneme Wake
,,,abz,individual,living,Abui
,,,aca,individual,living,Achagua
,,,acb,individual,living,Áncá
,,,acd,individual,living,Gikyode
,ace,ace,ace,individual,living,Achinese
,,,acf,individual,living,Saint Lucian Creole French
,ach,ach,ach,individual,living,Acoli
,,,aci,individual,extinct,Aka-Cari
,,,ack,individual,extinct,Aka-Kora
,,,acl,individual,extinct,Akar-Bale
,,,acm,individual,living,Mesopotamian Arabic
,,,acn,individual,living,Achang
