code,description,validity
100,Continue,Broken
101,Switching Protocols,Broken
102,Processing,Broken
103,Early Hints,Broken
104,Unassigned,N/A
105,Unassigned,N/A
106,Unassigned,N/A
107,Unassigned,N/A
108,Unassigned,N/A
109,Unassigned,N/A
110,Unassigned,N/A
111,Unassigned,N/A
112,Unassigned,N/A
113,Unassigned,N/A
114,Unassigned,N/A
115,Unassigned,N/A
116,Unassigned,N/A
117,Unassigned,N/A
118,Unassigned,N/A
119,Unassigned,N/A
120,Unassigned,N/A
121,Unassigned,N/A
122,Unassigned,N/A
123,Unassigned,N/A
124,Unassigned,N/A
125,Unassigned,N/A
126,Unassigned,N/A
127,Unassigned,N/A
128,Unassigned,N/A
129,Unassigned,N/A
130,Unassigned,N/A
131,Unassigned,N/A
132,Unassigned,N/A
133,Unassigned,N/A
134,Unassigned,N/A
135,Unassigned,N/A
136,Unassigned,N/A
137,Unassigned,N/A
138,Unassigned,N/A
139,Unassigned,N/A
140,Unassigned,N/A
141,Unassigned,N/A
142,Unassigned,N/A
143,Unassigned,N/A
144,Unassigned,N/A
145,Unassigned,N/A
146,Unassigned,N/A
147,Unassigned,N/A
148,Unassigned,N/A
149,Unassigned,N/A
150,Unassigned,N/A
151,Unassigned,N/A
152,Unassigned,N/A
153,Unassigned,N/A
154,Unassigned,N/A
155,Unassigned,N/A
156,Unassigned,N/A
157,Unassigned,N/A
158,Unassigned,N/A
159,Unassigned,N/A
160,Unassigned,N/A
161,Unassigned,N/A
162,Unassigned,N/A
163,Unassigned,N/A
164,Unassigned,N/A
165,Unassigned,N/A
166,Unassigned,N/A
167,Unassigned,N/A
168,Unassigned,N/A
169,Unassigned,N/A
170,Unassigned,N/A
171,Unassigned,N/A
172,Unassigned,N/A
173,Unassigned,N/A
174,Unassigned,N/A
175,Unassigned,N/A
176,Unassigned,N/A
177,Unassigned,N/A
178,Unassigned,N/A
179,Unassigned,N/A
180,Unassigned,N/A
181,Unassigned,N/A
182,Unassigned,N/A
183,Unassigned,N/A
184,Unassigned,N/A
185,Unassigned,N/A
186,Unassigned,N/A
187,Unassigned,N/A
188,Unassigned,N/A
189,Unassigned,N/A
190,Unassigned,N/A
191,Unassigned,N/A
192,Unassigned,N/A
193,Unassigned,N/A
194,Unassigned,N/A
195,Unassigned,N/A
196,Unassigned,N/A
197,Unassigned,N/A
198,Unassigned,N/A
199,Unassigned,N/A
200,OK,Valid
201,Created,Valid
202,Accepted,Valid
203,Non-Authoritative Information,Valid
204,No Content,Valid
205,Reset Content,Valid
206,Partial Content,Valid
207,Multi-Status,Valid
208,Already Reported,Valid
209,Unassigned,N/A
210,Unassigned,N/A
211,Unassigned,N/A
212,Unassigned,N/A
213,Unassigned,N/A
214,Unassigned,N/A
215,Unassigned,N/A
216,Unassigned,N/A
217,Unassigned,N/A
218,Unassigned,N/A
219,Unassigned,N/A
220,Unassigned,N/A
221,Unassigned,N/A
222,Unassigned,N/A
223,Unassigned,N/A
224,Unassigned,N/A
225,Unassigned,N/A
226,IM Used,Valid
227,Unassigned,N/A
228,Unassigned,N/A
229,Unassigned,N/A
230,Unassigned,N/A
231,Unassigned,N/A
232,Unassigned,N/A
233,Unassigned,N/A
234,Unassigned,N/A
235,Unassigned,N/A
236,Unassigned,N/A
237,Unassigned,N/A
